Year,Total Risky Area
1986,4486.911117
1987,4556.615374
1988,4623.465988
1989,4689.058693
1990,4754.989229000001
1991,4822.853329
1992,4893.938596
1993,4968.300148
1994,5045.684955000001
1995,5125.840013999999
1996,5208.512277
1997,5293.448748
1998,5380.344507
1999,5468.686936
2000,5557.911574
2001,5647.453894
2002,5736.74943
2003,5825.2336589999995
2004,5912.253968
2005,5996.805224
2006,6077.794164
2007,6154.127508
2008,6224.712015
2009,6288.454404
2010,6346.0266919999995
2011,6405.161962
2012,6475.358598000001
2013,6566.114957
2014,6686.929404
2015,6847.300313
